Assunto,Tipo de pedido,Detalhamento
"solicitando a limpeza do rio situado ao final da Rua Senday, Bairro – Jardim Naútico.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o cascalhamento e nivelamento na Avenida Manoel Lino da Silva, no trecho que não está asfaltado, Bairro – Jardim Aeroporto III.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando o cascalhamento e nivelamento por toda a extensão da Rodovia Professor Alfredo Rolim de Moura, Bairro – Estrada do Capixinga.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a vistoria técnica da Defesa Civil em uma árvore, situada na Rua José Rodrigues da Costa, no final da via, próximo ao Rio Tietê, Bairro – Ponte Grande.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando a poda de árvore na Rua Manaus, em frente ao número 107 – Santo Ângelo.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando a poda de árvore na Rua Sebastião Michel Miguel, número 485, Bairro – Conjunto Cocuera.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando a poda de árvore na Rua Sérgio Gonzales Novoa, número 310, Bairro – Novo Horizonte.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando a roçagem de mato por toda a extensão da Estrada Imperial, Bairro – Botujuru.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a roçagem de mato na Estrada do Beija Flor, próximo ao Condomínio Residencial Veredas, Bairro – Botujuru.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o aumento de rondas da polícia militar em volta do Terminal Estudantes, na Avenida Doutor Candido Xavier de Almeida e Souza – Centro Cívico.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
solicitando a limpeza por toda a extensão da Rua Atleta Wagner Luiz Furim - Centro.,SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o cascalhamento e nivelamento por toda extensão da Rua Santo André, Bairro – Vila Lavínia.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a instalação de postes de isolamento no início da área verde, próximo a Rua Lourdes Aparecida Costa, Bairro – Novo Horizonte.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando o aumento de rondas da polícia militar, na Rua Lúcio Calixto de França, Bairro – Jardim Santos Dumont III.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicitando a limpeza do Rio situado na Rua Lúcio Calixto de França, Bairro – Jardim Santos Dumont III.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a manutenção do Parque da Cidade situado na Rua Jardelina de Almeida Lopes, número 451, Bairro – Parque Santana.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solicitando a limpeza de via, Avenida Japão, altura do número 1137 – Vila Vitória.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando o nivelamento e motonivelamento por toda extensão da Estrada do Shida, próximo ao Doca, Bairro - Cocuera.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a execução dos serviços de tapa buraco na Avenida Vereador Narciso Yague Guimarães, altura do número 864 – Centro Cívico.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicito . a poda de árvore na Rua Sebastião Michel Miguel, número 485, Bairro – Conjunto Cocuera.",SERVIÇO,Poda de Árvore - SMAPA
"solicito a poda de árvore na Rua Sebastião Michel Miguel, número 485, Bairro – Conjunto Cocuera.",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando a execução de serviços de roçagem, zeladoria e remoção de galhos de uma árvore que está obstruindo a passagem de veículos",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a manutenção da luminária número 14240, situada na Rua Caminho 1, altura do número 06, Bairro – Jardim Nove de Julho.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a manutenção da luminária na Praça situada na Avenida Francisco Ruiz, entre as Ruas Mário Amabis e João Rodrigues de Moraes, Bairro – Parque Morumbi.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a reinstalação do poste com luminárias de LED na praça situada na Avenida Francisco Ruíz,",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a pintura horizontal “Devagar” e “Área Escolar”, na Rua Comendador Koeji Adachi, altura da E.E.I Santana III",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicitando a instalação de faixas de estímulo à redução de velocidade, na Rua Comendador Koeji Adachi, altura da E.E.I Santana III",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicitando a manutenção da luminária número 20400, situada na Rua Equador, frente ao número 222, Bairro – Jundiapeba.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a manutenção da luminária número 20401, situada na Rua Equador, frente ao número 222, Bairro – Jundiapeba.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a limpeza da Viela Jair Donizete de Paula Assis, ao lado do nº 117 da Rua Francisco Correa – Jardim Camila.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a execução dos serviços de limpeza , capinação de guias e sarjetas na Avenida Japão, número 1137, Bairro – Alto Ipiranga.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a execução dos serviços de limpeza, capinação de guias e sarjetas na Rua Eduardo de Castro Junior, número 127, Bairro – Alto Ipiranga.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o fechamento parcial, lado direito da Rua Flaviano de Mello,",EVENTO,Fechamento de rua
"solicitando a limpeza e capinação de mato nas guias e sarjetas da Rua Paulo Augusto Senhorini Júnior, altura do número 160, Bairro – Cidade Jardim.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a limpeza da Rua Equador, Distrito – Jundiapeba.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a operação tapa buraco na Rua Júlio Perotti, altura do número 75, Bairro – Jardim Armênia.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a execução do serviço de poda de árvore que está dificultando a visibilidade da placa de embarque e desembarque, em frente à estação de Mogi – Centro.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando o cascalhamento e terraplanagem na Rua Massaru Seiki, Bairro – Volta Fria.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando o tapa buraco na Rua João Miranda de Melo, na altura do número 215, Bairro – Mogi Moderno.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando as providências urgentes, quanto ao escoamento de água ao longo de toda a extensão da Avenida América, Bairro – Jardim Aeroporto II.",SERVIÇO,Manutenção Drenagem - SMSUZ
"solicitando o tapa buraco e o recapeamento do asfalto por toda a extensão da Rua João Batista Fernandes, Bairro – Vila Aurea Maria.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solciito a limpeza da Rua Equador, Distrito – Jundiapeba.",SERVIÇO,Limpeza Pública - SMSUZ
"solicito a execução do serviço de poda de árvore que está dificultando a visibilidade da placa de embarque e desembarque, em frente à estação de Mogi – Centro.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando a limpeza e roçagem de terreno situado na Rua João Mariano de Paula, ao lado do número 275, Bairro – Vila Suissa.",VISTORIA,Manutenção em Terreno particular - SMSEG
"solicitando a manutenção da iluminação pública na Rua Benedito José Pacheco, altura do número 240, Bairro – Jundiapeba.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a implantação de sinalização adequada para pedestres na calçada da Avenida João XXIII, nas proximidades do SESC.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solicitando a implantação de luminárias e manutenção das que estão queimadas na Rua José Marcondes de Carvalho, entre os números 1010 e 1150, Bairro – Botujuru.",IMPLANTAÇÃO,Implantação de Iluminação Pública - SMSUZ
"solicitando refazer arrimo da Rua José Marcondes de Carvalho, altura do número 1010, Bairro – Botujuru.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando o serviço de tapa buraco no meio da Rua Luiza dos Santos Cardoso, próximo à boca de lobo, frente ao número 985 – Botujuru.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando o uso do Estádio Municipal Francisco Ribeiro Nogueira, às quintas ou sextas – feiras, sendo uma vez ao mês, no período noturno",EVENTO,Outros
"solicitando a canalização das valetas de águas pluviais situadas na Rua Manuel Joaquim C. da Silva, Bairro – Jardim Aracy.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a poda de árvore que está a rede elétrica, no imóvel da Rua Emilio Dias do Prado, número 115, Bairro – Jardim Rodeio.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando a poda do mato na guia da calçada da Rua Gertrudes da Conceição Cabral, altura do número 488, Bairro – Vila Nancy.",SERVIÇO,Limpeza Pública - SMSUZ
sinalização por placas e pinturas de guias informando proibição de estacionar por longo período ou a sinalização de área de Embarque e Desembarque,SERVIÇO,Limpeza Pública - SMSUZ
OFÍCIO - SOLICITAÇÃO DE SERVIÇOS PÚBLICOSMeio Ambiente e Proteção AnimalPoda/corte de árvore,SERVIÇO,Poda de Árvore - SMAPA
"solicitando a reforma dos equipamentos de ginástica ATI, da Praça Raia de Malha",SERVIÇO,Manutenção Academia da Terceira Idade - SMEL
"solicitando a revitalização da Praça Raia de Malha - Vereador Nelson da Cunha Mesquita, situada na Avenida Lothar Waldemar Hoehne – Vila Aurea.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solicitando vaga na Creche CEIM Professora Luiza Conceição Silva – CEIC Dó-Ré-Mi, para o menor J. A. S. X.",ATENDIMENTO,Vaga em creche e/ou escola - SME
"solicitando vaga na Creche CEIM Professora Luiza Conceição Silva – CEIC Dó-Ré-Mi, para a menor M. E. P. F.",ATENDIMENTO,Vaga em creche e/ou escola - SME
"solicitando a supressão ou poda de árvore, situada na Estrada do Beija Flor, aproximadamente 50 metros do lado direito, Bairro – Beija Flor.",SERVIÇO,Poda de Árvore - SMAPA
"solicitando o serviço de tapa buraco, nos trechos de camada asfáltica, na extensão da Estrada do Beija Flor, Bairro – Beija Flor.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a implantação de faixa de pedestres na Rua Júlio Perotti, número 75, Bairro – Jardim Armênia.",IMPLANTAÇÃO,Implantação de Faixa de Pedestres - SMMT
"Solicitando o retorno das obras de asfaltamento, contrato 022-2024, empresa contratada ARS Construções e Serviços, na Avenida América",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando o serviço de tapa buraco, no trecho com asfalto da Estrada do Beija Flor.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
